Date,Category,Description,Amount
20/09/2018 12:04:08,Transportation,2 Place 5 to Place 0,30.0
20/09/2018 12:03:15,Food,Idli medu Vada mix 2 plates,60.0
19/09/2018,subscription,1 month subscription,199.0
17/09/2018 23:41:17,subscription,Data booster pack,19.0
16/09/2018 17:15:08,Festivals,Ganesh idol,251.0
15/09/2018 06:34:17,subscription,Permanent Residence - Tata Play recharge,200.0
14/09/2018 05:39:17,Transportation,Place 2 station to Permanent Residence,50.0
13/09/2018 21:35:15,Transportation,2 Place 0 to Place 3,40.0
13/09/2018 21:01:47,Other,HBR 2 Months subscription,83.0
13/09/2018 21:01:32,Food,1kg atta,46.0
13/09/2018,Small Cap fund 2,,5000.0
13/09/2018,Small cap fund 1,,5000.0
12/9/2018,subscription,Data booster pack,667.0
11/9/2018,Food,Home Food Delivery,650.0
11/9/2018,Other,From Family,3500.0
11/9/2018,Food,Half lit  milk,36.0
10/9/2018,Food,Half lit  milk,36.0
8/9/2018,Family,,40.0
7/9/2018,Food,Half lit  milk,37.0
7/9/2018,Equity Mutual Fund E,,1000.0
6/9/2018,Food,Amul butter,55.0
5/9/2018,Apparel,11 clothes ironing,77.0
5/9/2018,Food,Chinese Bhel,30.0
5/9/2018,Food,Shev Puri,40.0
5/9/2018,Food,2 kachori,24.0
5/9/2018,Food,Half lit  milk,36.0
5/9/2018,Food,Bread,18.0
3/9/2018,Family,,2000.0
1/9/2018,Public Provident Fund,,12500.0
1/9/2018,Saving Bank account 1,,2000.0
31/08/2018 15:12:20,Family,,1000.0
31/08/2018 15:12:20,Gift,farewell contribution,118.0
31/08/2018 10:01:15,Food,Domino's Pizza,510.85
31/08/2018 09:27:28,Salary,From workplace ,70255.0
31/08/2018 09:26:17,Food,Half lit  milk,36.0
30/08/2018 21:10:24,Food,Warna Srikhand pav kg,78.0
30/08/2018 21:09:51,Household,Supermart,343.0
29/08/2018 12:21:49,Food,Baking soda,27.0
29/08/2018 12:21:49,Food,chocobar,15.0
29/08/2018 12:11:41,Food,Half lit  milk,36.0
28/08/2018 21:04:56,Dividend earned on Shares,Astral Stocks,6.75
28/08/2018 19:16:09,Dividend earned on Shares,Reliance Stocks,18.0
27/08/2018 21:30:16,Food,Dahi 2 packets,20.0
27/08/2018 10:52:51,Food,2 plates poha,60.0
27/08/2018 10:52:30,Food,Khari packet,45.0
27/08/2018 10:52:09,Food,Half lit  milk,36.0
26/08/2018 21:04:46,Interest,interest paid,30.0
25/08/2018 21:04:46,Apparel,13 clothes ironing,91.0
24/08/2018 22:13:43,Food,Home Food Delivery,1120.0
24/08/2018 22:12:17,Other,From Family,1000.0
24/08/2018 20:20:37,Food,,20.0
24/08/2018 20:17:09,Food,Half lit  milk,36.0
24/08/2018 13:34:14,Festivals,Ganpati+ navratri vargani,1000.0
23/08/2018 21:29:52,Transportation,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4
23/08/2018 21:29:12,Transportation,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4
23/08/2018 19:55:33,Food,Catering Service,60.0
22/08/2018 22:31:36,Food,Half lit  milk,37.0
22/08/2018,Life Insurance,,11043.0
21/08/2018 16:15:46,Food,cutting chai,12.0
21/08/2018 16:15:20,Food,Half lit  milk,36.0
19/08/2018,subscription,1 month subscription,199.0
17/08/2018 20:06:32,Food,Dahi 2 packets,20.0
17/08/2018 19:21:17,Food,Half lit  milk,36.0
17/08/2018 12:40:28,Dividend earned on Shares,Pidilite Stocks,22.0
16/08/2018 19:08:01,subscription,Permanent Residence - Tata Play recharge,157.0
15/08/2018 09:44:05,Food,Warna Srikhand half kg,290.0
15/08/2018 09:11:44,Food,M D sure 4kg atta,216.0
14/08/2018 10:59:46,Dividend earned on Shares,ITC Stocks,124.0
14/08/2018 10:04:52,Family,,30.0
14/08/2018 09:51:30,Food,Dahi,32.0
14/08/2018 09:50:12,Household,Toothpaste Patanjali,160.0
14/08/2018 09:48:42,Apparel,8 clothes ironing,56.0
14/08/2018 09:46:54,Food,Vanila family pack,115.0
13/08/2018 18:37:27,Household,5 litres can Distilled water,100.0
13/08/2018 18:36:01,Household,Brass Puja plate and diva,220.0
13/08/2018 18:35:18,Food,Half kg Lahsoon,45.0
13/08/2018 18:33:36,Household,Supermart,594.0
13/08/2018 10:04:36,Food,Vanila cup,10.0
13/08/2018 10:04:23,Food,chocobar,20.0
13/08/2018,Small Cap fund 2,,5000.0
13/08/2018,Small cap fund 1,,5000.0
11/8/2018,Food,8 kachori,96.0
10/8/2018,Family,,35.0
7/8/2018,Equity Mutual Fund E,,1000.0
6/8/2018,Beauty,hair cut,100.0
5/8/2018,Family,,100.0
5/8/2018,Food,cutting chai,10.0
